,species,island,sex,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g
59,Chinstrap,Dream,FEMALE,59.12452,17.704676,203.79236,4322.0674
60,Adelie,Torgersen,FEMALE,50.46798,17.911564,193.62675,3975.7766
61,Gentoo,Biscoe,FEMALE,57.218487,14.301038,223.13179,4776.4126
62,Gentoo,Biscoe,FEMALE,57.35217,14.343458,223.18642,4808.0186
63,Adelie,Torgersen,FEMALE,50.45786,17.977938,193.73978,3998.8015
64,Gentoo,Biscoe,MALE,59.52727,16.436033,228.59433,5261.138
65,Adelie,Torgersen,FEMALE,50.46805,18.009905,193.83392,4003.759
66,Gentoo,Biscoe,MALE,59.507687,16.241121,228.24832,5238.1045
67,Adelie,Biscoe,MALE,51.476334,19.504648,205.15938,4562.0796
68,Gentoo,Biscoe,FEMALE,57.016907,14.335059,223.04422,4793.1333
69,Chinstrap,Dream,MALE,59.50073,19.123188,211.41689,4193.62
70,Adelie,Dream,MALE,51.63828,19.39932,199.49582,4759.9062
71,Gentoo,Biscoe,MALE,59.51795,16.299877,228.4955,5262.01
72,Chinstrap,Dream,MALE,59.503498,19.119688,211.4777,4185.6274
73,Chinstrap,Dream,FEMALE,59.180214,17.40743,205.46144,4400.403
74,Gentoo,Biscoe,FEMALE,57.37472,14.362877,222.86006,4803.284
75,Chinstrap,Dream,MALE,59.498074,19.112892,211.39812,4204.7764
76,Gentoo,Biscoe,MALE,59.522236,16.397476,228.71309,5291.0005
77,Adelie,Torgersen,FEMALE,50.429146,17.887543,193.47572,3984.893
78,Adelie,Dream,MALE,51.6622,19.324263,199.39369,4784.944
79,Chinstrap,Dream,MALE,59.499046,19.222853,211.06651,4180.9233
80,Gentoo,Biscoe,MALE,59.519073,16.390097,228.3536,5235.092
81,Adelie,Biscoe,MALE,51.48889,19.451605,205.37518,4570.811
82,Chinstrap,Dream,MALE,59.50498,19.076962,211.59134,4201.296
83,Gentoo,Biscoe,MALE,59.514748,16.347977,228.42363,5253.7856
84,Chinstrap,Dream,MALE,59.500965,19.22441,211.08067,4178.793
85,Gentoo,Biscoe,FEMALE,57.300186,14.36811,223.18639,4809.5776
86,Chinstrap,Dream,MALE,59.491432,19.212776,211.02478,4190.2114
87,Adelie,Biscoe,FEMALE,54.27911,16.615238,207.10464,3087.6743
88,Adelie,Torgersen,MALE,54.907616,20.24447,202.41183,4335.3364
89,Gentoo,Biscoe,MALE,59.520203,16.28867,228.52422,5263.6626
90,Gentoo,Biscoe,MALE,59.5291,16.546171,228.82983,5298.1943
91,Chinstrap,Dream,FEMALE,59.15964,17.300335,204.30614,4358.7036
92,Adelie,Dream,MALE,51.641438,19.371105,199.6099,4767.0854
93,Adelie,Dream,MALE,51.640842,19.354906,199.73694,4770.2354
94,Chinstrap,Dream,FEMALE,59.155712,17.642199,204.51245,4354.128
95,Adelie,Biscoe,FEMALE,54.31386,16.654472,206.62949,3066.2656
96,Adelie,Torgersen,FEMALE,50.45504,17.958582,193.69168,3994.433
97,Adelie,Dream,MALE,51.646202,19.355932,199.59113,4772.122
98,Adelie,Dream,MALE,51.640934,19.333622,199.88046,4774.689
99,Adelie,Dream,MALE,51.66634,19.333208,199.22575,4784.719
100,Chinstrap,Dream,MALE,59.50556,19.323784,210.79869,4155.684
101,Gentoo,Biscoe,MALE,59.50994,16.254608,228.48326,5272.3003
102,Gentoo,Biscoe,FEMALE,57.083828,14.333004,223.244,4760.351
103,Adelie,Torgersen,FEMALE,50.44853,17.948616,193.65378,3994.2722
104,Gentoo,Biscoe,FEMALE,57.057983,14.279904,222.97136,4767.7954
105,Gentoo,Biscoe,MALE,59.520924,16.419731,228.52069,5259.118
106,Gentoo,Biscoe,MALE,59.5195,16.304619,228.69272,5293.4946
107,Gentoo,Biscoe,FEMALE,57.04712,14.3464365,223.18668,4756.6284
108,Gentoo,Biscoe,FEMALE,57.351078,14.346525,223.24513,4767.228
109,Gentoo,Biscoe,FEMALE,57.139816,14.353779,223.37544,4772.92
110,Gentoo,Biscoe,FEMALE,57.44051,14.410148,223.295,4840.84
111,Adelie,Torgersen,FEMALE,50.52009,18.016447,193.98427,3984.1663
112,Gentoo,Biscoe,MALE,59.506657,16.260876,228.23747,5237.3667
113,Adelie,Dream,MALE,51.64961,19.300238,199.88289,4784.9463
114,Chinstrap,Dream,FEMALE,59.171494,17.395168,205.10098,4363.083
115,Gentoo,Biscoe,FEMALE,57.21565,14.325106,223.29951,4774.0537
116,Adelie,Biscoe,MALE,51.669548,19.391457,205.6483,4577.2993
117,Gentoo,Biscoe,MALE,59.51896,16.341494,228.49536,5259.56
118,Chinstrap,Dream,MALE,59.507267,19.259508,211.0052,4173.022
119,Adelie,Dream,MALE,51.66647,19.34689,199.1289,4781.94
120,Gentoo,Biscoe,FEMALE,57.29534,14.375729,223.15962,4833.896
121,Adelie,Dream,MALE,51.653008,19.3248,199.62813,4781.2344
122,Adelie,Dream,FEMALE,51.06064,17.877188,195.14598,3732.2625
123,Chinstrap,Dream,FEMALE,59.161358,17.623386,204.58488,4361.9873
124,Chinstrap,Dream,FEMALE,59.08141,17.691668,202.59584,4247.472
125,Gentoo,Biscoe,MALE,59.519928,16.42058,228.47292,5252.626
126,Gentoo,Biscoe,FEMALE,57.189713,14.334015,222.87814,4731.1865
127,Adelie,Dream,MALE,51.650085,19.3305,199.66487,4778.9155
128,Gentoo,Biscoe,MALE,59.531525,16.410873,228.70386,5273.704
129,Gentoo,Biscoe,MALE,59.523247,16.385788,228.6309,5275.1406
130,Gentoo,Biscoe,FEMALE,57.406868,14.3743925,222.90111,4783.3403
131,Adelie,Dream,FEMALE,51.038,17.814737,194.95001,3725.1558
132,Adelie,Biscoe,MALE,51.48297,19.476738,205.27345,4566.694
133,Adelie,Dream,FEMALE,51.100662,17.844755,195.18758,3709.0693
134,Adelie,Biscoe,MALE,51.49065,19.444105,205.40535,4572.0327
135,Gentoo,Biscoe,MALE,59.51339,16.335232,228.40733,5253.3438
136,Adelie,Torgersen,MALE,54.675102,20.23698,202.38766,4343.54
137,Gentoo,Biscoe,MALE,59.517082,16.311295,228.52383,5267.7812
138,Adelie,Dream,FEMALE,51.14482,17.666016,194.93025,3649.5303
139,Gentoo,Biscoe,MALE,59.519436,16.361813,228.5762,5272.072
140,Gentoo,Biscoe,MALE,59.51099,16.355047,228.35329,5247.5806
141,Gentoo,Biscoe,FEMALE,57.197815,14.361795,223.04103,4774.6934
142,Adelie,Dream,MALE,51.6572,19.302166,199.67317,4787.52
143,Adelie,Dream,MALE,51.639416,19.402962,199.44112,4759.5815
144,Chinstrap,Dream,FEMALE,59.188953,17.55773,205.51242,4375.5244
145,Gentoo,Biscoe,FEMALE,57.212227,14.367687,223.4567,4821.621
146,Adelie,Dream,MALE,51.650932,19.369474,199.37552,4771.149
147,Gentoo,Biscoe,MALE,59.517986,16.329483,228.75958,5307.161
148,Adelie,Dream,MALE,51.64513,19.346834,199.68138,4773.5938
149,Adelie,Torgersen,FEMALE,50.4557,17.913998,193.59988,3981.495
150,Adelie,Biscoe,MALE,51.47846,19.495749,205.19588,4563.5557
151,Gentoo,Biscoe,MALE,59.519955,16.302685,228.6918,5292.6943
152,Adelie,Torgersen,FEMALE,50.511917,18.146704,194.24171,4025.2231
153,Adelie,Biscoe,FEMALE,54.239765,16.76579,206.76495,3089.6433
154,Gentoo,Biscoe,FEMALE,57.28986,14.374526,223.04868,4777.7314
155,Adelie,Biscoe,MALE,51.508846,19.413345,205.53044,4576.7993
156,Gentoo,Biscoe,FEMALE,57.066605,14.242975,223.18716,4774.134
157,Adelie,Biscoe,MALE,51.519962,19.316118,205.908,4592.4277
158,Chinstrap,Dream,FEMALE,59.201824,17.45974,204.96349,4380.735
159,Adelie,Dream,MALE,51.648666,19.32927,199.71008,4778.6133
160,Chinstrap,Dream,MALE,59.501247,19.136993,211.36354,4194.683
161,Gentoo,Biscoe,MALE,59.516228,16.418396,228.58072,5276.378
162,Gentoo,Biscoe,FEMALE,57.134964,14.406976,223.11308,4781.209
163,Chinstrap,Dream,MALE,59.49268,19.165257,211.19348,4196.7935
164,Adelie,Dream,FEMALE,51.046314,17.750153,194.83582,3706.0227
165,Adelie,Dream,MALE,51.65697,19.324453,199.52786,4782.857
166,Adelie,Dream,FEMALE,51.226692,17.892488,195.64317,3673.8662
167,Adelie,Torgersen,FEMALE,50.458267,17.979229,193.74358,3999.0012
168,Gentoo,Biscoe,MALE,59.524628,16.530718,228.39958,5230.6636
169,Adelie,Dream,MALE,51.6449,19.366375,199.55298,4769.432
170,Chinstrap,Dream,MALE,59.503128,19.258795,210.95973,4178.3965
171,Adelie,Dream,MALE,51.668026,19.333452,199.18042,4785.33
172,Adelie,Dream,MALE,51.67172,19.276169,199.47218,4798.483
173,Adelie,Dream,FEMALE,51.218483,18.10793,196.091,3730.7463
174,Chinstrap,Dream,MALE,59.50332,19.113976,211.46104,4195.726
175,Gentoo,Biscoe,MALE,59.516853,16.289644,228.42719,5252.5674
176,Adelie,Dream,FEMALE,51.22979,18.0957,196.09604,3723.2996
177,Adelie,Biscoe,MALE,51.47167,19.524101,205.07913,4558.837
178,Gentoo,Biscoe,FEMALE,57.31413,14.363216,223.50008,4845.87
179,Adelie,Biscoe,FEMALE,54.21603,16.755806,207.19528,3103.7212
180,Gentoo,Biscoe,FEMALE,57.228374,14.346243,223.08994,4775.731
181,Chinstrap,Dream,MALE,59.502453,19.181768,211.22452,4187.6655
182,Adelie,Dream,FEMALE,51.23449,18.071049,196.05496,3715.2483
183,Chinstrap,Dream,FEMALE,59.162888,17.605322,204.18512,4357.778
184,Chinstrap,Dream,MALE,59.501156,19.103798,211.4639,4201.604
185,Chinstrap,Dream,MALE,59.499607,19.208895,211.10442,4186.475
186,Gentoo,Biscoe,MALE,59.52099,16.381792,228.30637,5224.735
187,Chinstrap,Dream,FEMALE,59.0581,17.563051,202.4284,4257.706
188,Adelie,Torgersen,MALE,54.606762,20.234827,202.38074,4345.895
189,Adelie,Biscoe,FEMALE,54.288704,16.388927,205.79886,3063.1912
190,Gentoo,Biscoe,MALE,59.52054,16.328056,228.6583,5285.3647
191,Gentoo,Biscoe,MALE,59.510185,16.310062,228.3786,5253.73
192,Adelie,Torgersen,FEMALE,50.423527,17.869804,193.42424,3982.1816
193,Gentoo,Biscoe,FEMALE,57.164555,14.358753,222.95667,4760.5234
194,Adelie,Dream,MALE,51.636356,19.372587,199.7312,4764.7817
195,Adelie,Torgersen,FEMALE,50.51467,17.907007,193.7391,3955.4275
196,Gentoo,Biscoe,FEMALE,57.368015,14.3994465,223.56725,4819.9165
197,Chinstrap,Dream,MALE,59.506428,19.26379,210.99615,4169.314
198,Chinstrap,Dream,MALE,59.492035,19.205935,211.05238,4190.9917
199,Gentoo,Biscoe,FEMALE,57.135456,14.365721,223.12982,4787.4873
200,Gentoo,Biscoe,FEMALE,57.173862,14.317311,223.31404,4806.609
201,Adelie,Dream,MALE,51.659714,19.326935,199.43994,4783.4194
202,Gentoo,Biscoe,FEMALE,57.36017,14.348775,223.52444,4854.344
203,Adelie,Torgersen,MALE,54.886906,20.243793,202.40964,4336.0796
204,Gentoo,Biscoe,FEMALE,57.269333,14.355095,222.86574,4770.9004
205,Gentoo,Biscoe,FEMALE,57.23661,14.336083,222.45068,4753.415
206,Chinstrap,Dream,MALE,59.500435,19.207478,211.10463,4189.3413
207,Gentoo,Biscoe,FEMALE,57.412167,14.384588,222.93747,4812.918
208,Adelie,Dream,FEMALE,51.27136,17.737543,195.43633,3620.7659
209,Gentoo,Biscoe,FEMALE,57.147022,14.335939,223.32214,4756.2456
210,Adelie,Torgersen,MALE,54.19847,20.222345,202.34079,4359.476
211,Gentoo,Biscoe,MALE,59.51265,16.288408,228.43768,5260.3604
212,Adelie,Dream,MALE,51.654583,19.365137,199.31108,4773.486
213,Chinstrap,Dream,FEMALE,59.181625,17.515684,204.37665,4358.2686
214,Adelie,Torgersen,MALE,54.71443,20.238232,202.3917,4342.174
215,Adelie,Biscoe,MALE,51.492317,19.436977,205.43394,4573.1904
216,Adelie,Dream,MALE,51.66435,19.330599,199.29503,4784.479
217,Adelie,Biscoe,MALE,51.48123,19.484072,205.24359,4565.4854
218,Adelie,Biscoe,FEMALE,54.34506,16.561453,205.84018,3053.845
219,Adelie,Torgersen,FEMALE,50.478477,18.04255,193.93051,4008.8433
220,Chinstrap,Dream,MALE,59.495045,19.131516,211.3383,4196.651
221,Adelie,Torgersen,FEMALE,50.525375,17.920753,193.79599,3954.9194
222,Adelie,Biscoe,MALE,51.48633,19.462524,205.33109,4569.026
223,Gentoo,Biscoe,FEMALE,57.1509,14.356682,223.33058,4759.4795
224,Chinstrap,Dream,FEMALE,59.122543,17.526976,203.48843,4307.8325
225,Gentoo,Biscoe,FEMALE,57.186203,14.355894,223.33073,4787.9707
226,Adelie,Biscoe,FEMALE,54.319607,16.625925,206.81308,3067.616
227,Gentoo,Biscoe,MALE,59.512394,16.410275,228.40056,5252.0264
228,Gentoo,Biscoe,MALE,59.519653,16.368856,228.4895,5256.9375
229,Chinstrap,Dream,FEMALE,59.188805,17.477436,204.03078,4324.6553
230,Chinstrap,Dream,MALE,59.50448,19.170109,211.28735,4186.561
231,Adelie,Dream,MALE,51.65805,19.346632,199.34843,4778.697
232,Adelie,Torgersen,FEMALE,50.555897,18.131676,194.32562,4002.5361
233,Gentoo,Biscoe,MALE,59.510616,16.192324,228.48888,5273.68
234,Gentoo,Biscoe,FEMALE,57.130085,14.327488,222.75388,4732.3755
235,Adelie,Biscoe,FEMALE,54.33396,16.458185,206.95207,3075.3723
236,Adelie,Dream,FEMALE,51.2094,17.700115,195.18251,3634.2554
237,Adelie,Dream,MALE,51.658146,19.315191,199.56033,4785.222
238,Adelie,Dream,FEMALE,51.19002,18.127138,196.05292,3746.629
239,Chinstrap,Dream,MALE,59.49681,19.117058,211.40181,4197.339
240,Adelie,Biscoe,FEMALE,54.261536,16.635971,206.85648,3091.2083
241,Chinstrap,Dream,MALE,59.502678,19.004292,211.80031,4213.729
242,Adelie,Dream,FEMALE,51.18819,17.918383,195.59074,3694.5244
243,Gentoo,Biscoe,MALE,59.525173,16.388678,228.61703,5269.5674
244,Gentoo,Biscoe,MALE,59.51671,16.363176,228.3872,5244.6655
245,Adelie,Torgersen,FEMALE,50.56147,17.971117,193.99712,3954.3442
246,Adelie,Biscoe,MALE,52.019833,19.37623,205.77902,4572.884
247,Gentoo,Biscoe,FEMALE,57.38935,14.34384,222.72691,4765.724
248,Chinstrap,Dream,MALE,59.50368,19.292353,210.83276,4177.2197
249,Gentoo,Biscoe,MALE,59.51581,16.367348,228.6377,5287.8936
250,Adelie,Dream,FEMALE,51.09652,17.634924,194.73106,3659.6716
251,Adelie,Dream,MALE,51.616734,19.382803,200.1681,4754.943
252,Adelie,Dream,FEMALE,51.137714,17.80163,195.19849,3684.6711
253,Gentoo,Biscoe,FEMALE,57.193302,14.334774,223.20761,4774.6387
254,Adelie,Dream,FEMALE,51.209354,17.818949,195.43599,3662.4688
255,Gentoo,Biscoe,MALE,59.519382,16.308153,228.65852,5287.5645
