Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
Chinstrap;Dream;FEMALE;59.183403;17.508617;204.46869;4366.0156;fake
Gentoo;Biscoe;MALE;59.52201;16.446299;228.62881;5275.4185;fake
Gentoo;Biscoe;FEMALE;57.297565;14.346;223.0359;4820.8086;fake
Chinstrap;Dream;FEMALE;59.104965;17.563503;203.83772;4313.5093;fake
Chinstrap;Dream;MALE;59.502697;19.15842;211.29001;4194.853;fake
Adelie;Torgersen;FEMALE;50.462696;17.902294;193.59363;3975.3213;fake
Adelie;Dream;FEMALE;51.14133;17.752491;195.10382;3671.4377;fake
Gentoo;Biscoe;MALE;59.506226;16.312786;228.41869;5265.4106;fake
Chinstrap;Dream;MALE;59.505634;19.26089;210.98267;4174.551;fake
Adelie;Biscoe;MALE;51.462654;19.561287;204.92407;4552.5747;fake
Adelie;Torgersen;MALE;55.094315;20.250673;202.43193;4328.518;fake
Adelie;Torgersen;MALE;54.986607;20.247072;202.42026;4332.478;fake
Adelie;Dream;FEMALE;51.23492;18.101263;196.12291;3722.7637;fake
Adelie;Torgersen;MALE;55.172855;20.253336;202.4406;4325.5825;fake
Gentoo;Biscoe;MALE;59.51035;16.271704;228.33636;5247.5938;fake
Chinstrap;Dream;FEMALE;59.13774;17.451225;203.23944;4300.7847;fake
Chinstrap;Dream;MALE;59.507988;19.213924;211.1891;4173.472;fake
Gentoo;Biscoe;MALE;59.514072;16.282661;228.55208;5277.497;fake
Adelie;Dream;FEMALE;51.030777;17.701204;194.68968;3699.7944;fake
Chinstrap;Dream;MALE;59.503944;19.094511;211.53261;4197.4287;fake
Chinstrap;Dream;FEMALE;59.122234;17.630959;203.93521;4338.5005;fake
Gentoo;Biscoe;MALE;59.52271;16.448492;228.5255;5256.5137;fake
Adelie;Torgersen;FEMALE;50.46415;17.997686;193.7979;4001.8618;fake
Adelie;Torgersen;MALE;54.796364;20.240856;202.40016;4339.3003;fake
Chinstrap;Dream;MALE;59.50961;19.166386;211.36983;4177.7085;fake
Adelie;Dream;FEMALE;51.217926;18.04533;195.9514;3715.0298;fake
Adelie;Torgersen;FEMALE;50.47479;18.031004;193.8963;4007.0425;fake
Adelie;Biscoe;FEMALE;54.30212;16.591438;206.89519;3078.0027;fake
Gentoo;Biscoe;MALE;59.52707;16.445581;228.71918;5283.353;fake
Gentoo;Biscoe;FEMALE;57.291206;14.391994;223.30577;4835.373;fake
Adelie;Torgersen;MALE;54.272354;20.224556;202.34784;4357.0767;fake
Adelie;Biscoe;FEMALE;54.215164;16.786497;206.79185;3098.7134;fake
Adelie;Torgersen;FEMALE;50.479168;18.044706;193.9369;4009.1802;fake
Gentoo;Biscoe;MALE;59.521896;16.391518;228.45535;5247.288;fake
Chinstrap;Dream;FEMALE;59.12452;17.704676;203.79236;4322.0674;fake
Adelie;Torgersen;FEMALE;50.46798;17.911564;193.62675;3975.7766;fake
Gentoo;Biscoe;FEMALE;57.218487;14.301038;223.13179;4776.4126;fake
Gentoo;Biscoe;FEMALE;57.35217;14.343458;223.18642;4808.0186;fake
Adelie;Torgersen;FEMALE;50.45786;17.977938;193.73978;3998.8015;fake
Gentoo;Biscoe;MALE;59.52727;16.436033;228.59433;5261.138;fake
Adelie;Torgersen;FEMALE;50.46805;18.009905;193.83392;4003.759;fake
Gentoo;Biscoe;MALE;59.507687;16.241121;228.24832;5238.1045;fake
Adelie;Biscoe;MALE;51.476334;19.504648;205.15938;4562.0796;fake
Gentoo;Biscoe;FEMALE;57.016907;14.335059;223.04422;4793.1333;fake
Chinstrap;Dream;MALE;59.50073;19.123188;211.41689;4193.62;fake
Adelie;Dream;MALE;51.63828;19.39932;199.49582;4759.9062;fake
Gentoo;Biscoe;MALE;59.51795;16.299877;228.4955;5262.01;fake
Chinstrap;Dream;MALE;59.503498;19.119688;211.4777;4185.6274;fake
Chinstrap;Dream;FEMALE;59.180214;17.40743;205.46144;4400.403;fake
Gentoo;Biscoe;FEMALE;57.37472;14.362877;222.86006;4803.284;fake
Chinstrap;Dream;MALE;59.498074;19.112892;211.39812;4204.7764;fake
Gentoo;Biscoe;MALE;59.522236;16.397476;228.71309;5291.0005;fake
Adelie;Torgersen;FEMALE;50.429146;17.887543;193.47572;3984.893;fake
Adelie;Dream;MALE;51.6622;19.324263;199.39369;4784.944;fake
Chinstrap;Dream;MALE;59.499046;19.222853;211.06651;4180.9233;fake
Gentoo;Biscoe;MALE;59.519073;16.390097;228.3536;5235.092;fake
Adelie;Biscoe;MALE;51.48889;19.451605;205.37518;4570.811;fake
Chinstrap;Dream;MALE;59.50498;19.076962;211.59134;4201.296;fake
Gentoo;Biscoe;MALE;59.514748;16.347977;228.42363;5253.7856;fake
Chinstrap;Dream;MALE;59.500965;19.22441;211.08067;4178.793;fake
Gentoo;Biscoe;FEMALE;57.300186;14.36811;223.18639;4809.5776;fake
Chinstrap;Dream;MALE;59.491432;19.212776;211.02478;4190.2114;fake
Adelie;Biscoe;FEMALE;54.27911;16.615238;207.10464;3087.6743;fake
Adelie;Torgersen;MALE;54.907616;20.24447;202.41183;4335.3364;fake
Gentoo;Biscoe;MALE;59.520203;16.28867;228.52422;5263.6626;fake
Gentoo;Biscoe;MALE;59.5291;16.546171;228.82983;5298.1943;fake
Chinstrap;Dream;FEMALE;59.15964;17.300335;204.30614;4358.7036;fake
Adelie;Dream;MALE;51.641438;19.371105;199.6099;4767.0854;fake
Adelie;Dream;MALE;51.640842;19.354906;199.73694;4770.2354;fake
Chinstrap;Dream;FEMALE;59.155712;17.642199;204.51245;4354.128;fake
Adelie;Biscoe;FEMALE;54.31386;16.654472;206.62949;3066.2656;fake
Adelie;Torgersen;FEMALE;50.45504;17.958582;193.69168;3994.433;fake
Adelie;Dream;MALE;51.646202;19.355932;199.59113;4772.122;fake
Adelie;Dream;MALE;51.640934;19.333622;199.88046;4774.689;fake
Adelie;Dream;MALE;51.66634;19.333208;199.22575;4784.719;fake
Chinstrap;Dream;MALE;59.50556;19.323784;210.79869;4155.684;fake
Gentoo;Biscoe;MALE;59.50994;16.254608;228.48326;5272.3003;fake
Gentoo;Biscoe;FEMALE;57.083828;14.333004;223.244;4760.351;fake
Adelie;Torgersen;FEMALE;50.44853;17.948616;193.65378;3994.2722;fake
Gentoo;Biscoe;FEMALE;57.057983;14.279904;222.97136;4767.7954;fake
Gentoo;Biscoe;MALE;59.520924;16.419731;228.52069;5259.118;fake
Gentoo;Biscoe;MALE;59.5195;16.304619;228.69272;5293.4946;fake
Gentoo;Biscoe;FEMALE;57.04712;14.3464365;223.18668;4756.6284;fake
Gentoo;Biscoe;FEMALE;57.351078;14.346525;223.24513;4767.228;fake
Gentoo;Biscoe;FEMALE;57.139816;14.353779;223.37544;4772.92;fake
Gentoo;Biscoe;FEMALE;57.44051;14.410148;223.295;4840.84;fake
Adelie;Torgersen;FEMALE;50.52009;18.016447;193.98427;3984.1663;fake
Gentoo;Biscoe;MALE;59.506657;16.260876;228.23747;5237.3667;fake
Adelie;Dream;MALE;51.64961;19.300238;199.88289;4784.9463;fake
Chinstrap;Dream;FEMALE;59.171494;17.395168;205.10098;4363.083;fake
Gentoo;Biscoe;FEMALE;57.21565;14.325106;223.29951;4774.0537;fake
Adelie;Biscoe;MALE;51.669548;19.391457;205.6483;4577.2993;fake
Gentoo;Biscoe;MALE;59.51896;16.341494;228.49536;5259.56;fake
Chinstrap;Dream;MALE;59.507267;19.259508;211.0052;4173.022;fake
Adelie;Dream;MALE;51.66647;19.34689;199.1289;4781.94;fake
Gentoo;Biscoe;FEMALE;57.29534;14.375729;223.15962;4833.896;fake
Adelie;Dream;MALE;51.653008;19.3248;199.62813;4781.2344;fake
Adelie;Dream;FEMALE;51.06064;17.877188;195.14598;3732.2625;fake
Chinstrap;Dream;FEMALE;59.161358;17.623386;204.58488;4361.9873;fake
Chinstrap;Dream;FEMALE;59.08141;17.691668;202.59584;4247.472;fake
Gentoo;Biscoe;MALE;59.519928;16.42058;228.47292;5252.626;fake
Gentoo;Biscoe;FEMALE;57.189713;14.334015;222.87814;4731.1865;fake
Adelie;Dream;MALE;51.650085;19.3305;199.66487;4778.9155;fake
Gentoo;Biscoe;MALE;59.531525;16.410873;228.70386;5273.704;fake
Gentoo;Biscoe;MALE;59.523247;16.385788;228.6309;5275.1406;fake
Gentoo;Biscoe;FEMALE;57.406868;14.3743925;222.90111;4783.3403;fake
Adelie;Dream;FEMALE;51.038;17.814737;194.95001;3725.1558;fake
Adelie;Biscoe;MALE;51.48297;19.476738;205.27345;4566.694;fake
Adelie;Dream;FEMALE;51.100662;17.844755;195.18758;3709.0693;fake
Adelie;Biscoe;MALE;51.49065;19.444105;205.40535;4572.0327;fake
Gentoo;Biscoe;MALE;59.51339;16.335232;228.40733;5253.3438;fake
Adelie;Torgersen;MALE;54.675102;20.23698;202.38766;4343.54;fake
Gentoo;Biscoe;MALE;59.517082;16.311295;228.52383;5267.7812;fake
Adelie;Dream;FEMALE;51.14482;17.666016;194.93025;3649.5303;fake
Gentoo;Biscoe;MALE;59.519436;16.361813;228.5762;5272.072;fake
Gentoo;Biscoe;MALE;59.51099;16.355047;228.35329;5247.5806;fake
Gentoo;Biscoe;FEMALE;57.197815;14.361795;223.04103;4774.6934;fake
Adelie;Dream;MALE;51.6572;19.302166;199.67317;4787.52;fake
Adelie;Dream;MALE;51.639416;19.402962;199.44112;4759.5815;fake
Chinstrap;Dream;FEMALE;59.188953;17.55773;205.51242;4375.5244;fake
Gentoo;Biscoe;FEMALE;57.212227;14.367687;223.4567;4821.621;fake
Adelie;Dream;MALE;51.650932;19.369474;199.37552;4771.149;fake
Gentoo;Biscoe;MALE;59.517986;16.329483;228.75958;5307.161;fake
Adelie;Dream;MALE;51.64513;19.346834;199.68138;4773.5938;fake
Adelie;Torgersen;FEMALE;50.4557;17.913998;193.59988;3981.495;fake
Adelie;Biscoe;MALE;51.47846;19.495749;205.19588;4563.5557;fake
Gentoo;Biscoe;MALE;59.519955;16.302685;228.6918;5292.6943;fake
Adelie;Torgersen;FEMALE;50.511917;18.146704;194.24171;4025.2231;fake
Adelie;Biscoe;FEMALE;54.239765;16.76579;206.76495;3089.6433;fake
Gentoo;Biscoe;FEMALE;57.28986;14.374526;223.04868;4777.7314;fake
Adelie;Biscoe;MALE;51.508846;19.413345;205.53044;4576.7993;fake
Gentoo;Biscoe;FEMALE;57.066605;14.242975;223.18716;4774.134;fake
Adelie;Biscoe;MALE;51.519962;19.316118;205.908;4592.4277;fake
Chinstrap;Dream;FEMALE;59.201824;17.45974;204.96349;4380.735;fake
Adelie;Dream;MALE;51.648666;19.32927;199.71008;4778.6133;fake
Chinstrap;Dream;MALE;59.501247;19.136993;211.36354;4194.683;fake
Gentoo;Biscoe;MALE;59.516228;16.418396;228.58072;5276.378;fake
Gentoo;Biscoe;FEMALE;57.134964;14.406976;223.11308;4781.209;fake
Chinstrap;Dream;MALE;59.49268;19.165257;211.19348;4196.7935;fake
Adelie;Dream;FEMALE;51.046314;17.750153;194.83582;3706.0227;fake
Adelie;Dream;MALE;51.65697;19.324453;199.52786;4782.857;fake
Adelie;Dream;FEMALE;51.226692;17.892488;195.64317;3673.8662;fake
Adelie;Torgersen;FEMALE;50.458267;17.979229;193.74358;3999.0012;fake
Gentoo;Biscoe;MALE;59.524628;16.530718;228.39958;5230.6636;fake
Adelie;Dream;MALE;51.6449;19.366375;199.55298;4769.432;fake
Chinstrap;Dream;MALE;59.503128;19.258795;210.95973;4178.3965;fake
Adelie;Dream;MALE;51.668026;19.333452;199.18042;4785.33;fake
Adelie;Dream;MALE;51.67172;19.276169;199.47218;4798.483;fake
Adelie;Dream;FEMALE;51.218483;18.10793;196.091;3730.7463;fake
Chinstrap;Dream;MALE;59.50332;19.113976;211.46104;4195.726;fake
Gentoo;Biscoe;MALE;59.516853;16.289644;228.42719;5252.5674;fake
Adelie;Dream;FEMALE;51.22979;18.0957;196.09604;3723.2996;fake
Adelie;Biscoe;MALE;51.47167;19.524101;205.07913;4558.837;fake
Gentoo;Biscoe;FEMALE;57.31413;14.363216;223.50008;4845.87;fake
Adelie;Biscoe;FEMALE;54.21603;16.755806;207.19528;3103.7212;fake
Gentoo;Biscoe;FEMALE;57.228374;14.346243;223.08994;4775.731;fake
Chinstrap;Dream;MALE;59.502453;19.181768;211.22452;4187.6655;fake
Adelie;Dream;FEMALE;51.23449;18.071049;196.05496;3715.2483;fake
Chinstrap;Dream;FEMALE;59.162888;17.605322;204.18512;4357.778;fake
Chinstrap;Dream;MALE;59.501156;19.103798;211.4639;4201.604;fake
Chinstrap;Dream;MALE;59.499607;19.208895;211.10442;4186.475;fake
Gentoo;Biscoe;MALE;59.52099;16.381792;228.30637;5224.735;fake
Chinstrap;Dream;FEMALE;59.0581;17.563051;202.4284;4257.706;fake
Adelie;Torgersen;MALE;54.606762;20.234827;202.38074;4345.895;fake
Adelie;Biscoe;FEMALE;54.288704;16.388927;205.79886;3063.1912;fake
Gentoo;Biscoe;MALE;59.52054;16.328056;228.6583;5285.3647;fake
Gentoo;Biscoe;MALE;59.510185;16.310062;228.3786;5253.73;fake
Adelie;Torgersen;FEMALE;50.423527;17.869804;193.42424;3982.1816;fake
Gentoo;Biscoe;FEMALE;57.164555;14.358753;222.95667;4760.5234;fake
Adelie;Dream;MALE;51.636356;19.372587;199.7312;4764.7817;fake
Adelie;Torgersen;FEMALE;50.51467;17.907007;193.7391;3955.4275;fake
Gentoo;Biscoe;FEMALE;57.368015;14.3994465;223.56725;4819.9165;fake
Chinstrap;Dream;MALE;59.506428;19.26379;210.99615;4169.314;fake
Chinstrap;Dream;MALE;59.492035;19.205935;211.05238;4190.9917;fake
Gentoo;Biscoe;FEMALE;57.135456;14.365721;223.12982;4787.4873;fake
Gentoo;Biscoe;FEMALE;57.173862;14.317311;223.31404;4806.609;fake
Adelie;Dream;MALE;51.659714;19.326935;199.43994;4783.4194;fake
Gentoo;Biscoe;FEMALE;57.36017;14.348775;223.52444;4854.344;fake
Adelie;Torgersen;MALE;54.886906;20.243793;202.40964;4336.0796;fake
Gentoo;Biscoe;FEMALE;57.269333;14.355095;222.86574;4770.9004;fake
Gentoo;Biscoe;FEMALE;57.23661;14.336083;222.45068;4753.415;fake
Chinstrap;Dream;MALE;59.500435;19.207478;211.10463;4189.3413;fake
Gentoo;Biscoe;FEMALE;57.412167;14.384588;222.93747;4812.918;fake
Adelie;Dream;FEMALE;51.27136;17.737543;195.43633;3620.7659;fake
Gentoo;Biscoe;FEMALE;57.147022;14.335939;223.32214;4756.2456;fake
Adelie;Torgersen;MALE;54.19847;20.222345;202.34079;4359.476;fake
Gentoo;Biscoe;MALE;59.51265;16.288408;228.43768;5260.3604;fake
Adelie;Dream;MALE;51.654583;19.365137;199.31108;4773.486;fake
Chinstrap;Dream;FEMALE;59.181625;17.515684;204.37665;4358.2686;fake
Adelie;Torgersen;MALE;54.71443;20.238232;202.3917;4342.174;fake
Adelie;Biscoe;MALE;51.492317;19.436977;205.43394;4573.1904;fake
Adelie;Dream;MALE;51.66435;19.330599;199.29503;4784.479;fake
Adelie;Biscoe;MALE;51.48123;19.484072;205.24359;4565.4854;fake
Adelie;Biscoe;FEMALE;54.34506;16.561453;205.84018;3053.845;fake
Adelie;Torgersen;FEMALE;50.478477;18.04255;193.93051;4008.8433;fake
Chinstrap;Dream;MALE;59.495045;19.131516;211.3383;4196.651;fake
Adelie;Torgersen;FEMALE;50.525375;17.920753;193.79599;3954.9194;fake
Adelie;Biscoe;MALE;51.48633;19.462524;205.33109;4569.026;fake
Gentoo;Biscoe;FEMALE;57.1509;14.356682;223.33058;4759.4795;fake
Chinstrap;Dream;FEMALE;59.122543;17.526976;203.48843;4307.8325;fake
Gentoo;Biscoe;FEMALE;57.186203;14.355894;223.33073;4787.9707;fake
Adelie;Biscoe;FEMALE;54.319607;16.625925;206.81308;3067.616;fake
Gentoo;Biscoe;MALE;59.512394;16.410275;228.40056;5252.0264;fake
Gentoo;Biscoe;MALE;59.519653;16.368856;228.4895;5256.9375;fake
Chinstrap;Dream;FEMALE;59.188805;17.477436;204.03078;4324.6553;fake
Chinstrap;Dream;MALE;59.50448;19.170109;211.28735;4186.561;fake
Adelie;Dream;MALE;51.65805;19.346632;199.34843;4778.697;fake
Adelie;Torgersen;FEMALE;50.555897;18.131676;194.32562;4002.5361;fake
Gentoo;Biscoe;MALE;59.510616;16.192324;228.48888;5273.68;fake
Gentoo;Biscoe;FEMALE;57.130085;14.327488;222.75388;4732.3755;fake
Adelie;Biscoe;FEMALE;54.33396;16.458185;206.95207;3075.3723;fake
Adelie;Dream;FEMALE;51.2094;17.700115;195.18251;3634.2554;fake
Adelie;Dream;MALE;51.658146;19.315191;199.56033;4785.222;fake
Adelie;Dream;FEMALE;51.19002;18.127138;196.05292;3746.629;fake
Chinstrap;Dream;MALE;59.49681;19.117058;211.40181;4197.339;fake
Adelie;Biscoe;FEMALE;54.261536;16.635971;206.85648;3091.2083;fake
Chinstrap;Dream;MALE;59.502678;19.004292;211.80031;4213.729;fake
Adelie;Dream;FEMALE;51.18819;17.918383;195.59074;3694.5244;fake
Gentoo;Biscoe;MALE;59.525173;16.388678;228.61703;5269.5674;fake
Gentoo;Biscoe;MALE;59.51671;16.363176;228.3872;5244.6655;fake
Adelie;Torgersen;FEMALE;50.56147;17.971117;193.99712;3954.3442;fake
Adelie;Biscoe;MALE;52.019833;19.37623;205.77902;4572.884;fake
Gentoo;Biscoe;FEMALE;57.38935;14.34384;222.72691;4765.724;fake
Chinstrap;Dream;MALE;59.50368;19.292353;210.83276;4177.2197;fake
Gentoo;Biscoe;MALE;59.51581;16.367348;228.6377;5287.8936;fake
Adelie;Dream;FEMALE;51.09652;17.634924;194.73106;3659.6716;fake
Adelie;Dream;MALE;51.616734;19.382803;200.1681;4754.943;fake
Adelie;Dream;FEMALE;51.137714;17.80163;195.19849;3684.6711;fake
Gentoo;Biscoe;FEMALE;57.193302;14.334774;223.20761;4774.6387;fake
Adelie;Dream;FEMALE;51.209354;17.818949;195.43599;3662.4688;fake
Gentoo;Biscoe;MALE;59.519382;16.308153;228.65852;5287.5645;fake
Adelie;Torgersen;MALE;39.1;18.7;181;3750;real
Adelie;Torgersen;FEMALE;39.5;17.4;186;3800;real
Adelie;Torgersen;FEMALE;40.3;18;195;3250;real
Adelie;Torgersen;FEMALE;36.7;19.3;193;3450;real
Adelie;Torgersen;MALE;39.3;20.6;190;3650;real
Adelie;Torgersen;FEMALE;38.9;17.8;181;3625;real
Adelie;Torgersen;MALE;39.2;19.6;195;4675;real
Adelie;Torgersen;FEMALE;41.1;17.6;182;3200;real
Adelie;Torgersen;MALE;38.6;21.2;191;3800;real
Adelie;Torgersen;MALE;34.6;21.1;198;4400;real
Adelie;Torgersen;FEMALE;36.6;17.8;185;3700;real
Adelie;Torgersen;FEMALE;38.7;19;195;3450;real
Adelie;Torgersen;MALE;42.5;20.7;197;4500;real
Adelie;Torgersen;FEMALE;34.4;18.4;184;3325;real
Adelie;Torgersen;MALE;46;21.5;194;4200;real
Adelie;Biscoe;FEMALE;37.8;18.3;174;3400;real
Adelie;Biscoe;MALE;37.7;18.7;180;3600;real
Adelie;Biscoe;FEMALE;35.9;19.2;189;3800;real
Adelie;Biscoe;MALE;38.2;18.1;185;3950;real
Adelie;Biscoe;MALE;38.8;17.2;180;3800;real
Adelie;Biscoe;FEMALE;35.3;18.9;187;3800;real
Adelie;Biscoe;MALE;40.6;18.6;183;3550;real
Adelie;Biscoe;FEMALE;40.5;17.9;187;3200;real
Adelie;Biscoe;FEMALE;37.9;18.6;172;3150;real
Adelie;Biscoe;MALE;40.5;18.9;180;3950;real
Adelie;Dream;FEMALE;39.5;16.7;178;3250;real
Adelie;Dream;MALE;37.2;18.1;178;3900;real
Adelie;Dream;FEMALE;39.5;17.8;188;3300;real
Adelie;Dream;MALE;40.9;18.9;184;3900;real
Adelie;Dream;FEMALE;36.4;17;195;3325;real
Adelie;Dream;MALE;39.2;21.1;196;4150;real
Adelie;Dream;MALE;38.8;20;190;3950;real
Adelie;Dream;FEMALE;42.2;18.5;180;3550;real
Adelie;Dream;FEMALE;37.6;19.3;181;3300;real
Adelie;Dream;MALE;39.8;19.1;184;4650;real
Adelie;Dream;FEMALE;36.5;18;182;3150;real
Adelie;Dream;MALE;40.8;18.4;195;3900;real
Adelie;Dream;FEMALE;36;18.5;186;3100;real
Adelie;Dream;MALE;44.1;19.7;196;4400;real
Adelie;Dream;FEMALE;37;16.9;185;3000;real
Adelie;Dream;MALE;39.6;18.8;190;4600;real
Adelie;Dream;MALE;41.1;19;182;3425;real
Adelie;Dream;FEMALE;36;17.9;190;3450;real
Adelie;Dream;MALE;42.3;21.2;191;4150;real
Adelie;Biscoe;FEMALE;39.6;17.7;186;3500;real
Adelie;Biscoe;MALE;40.1;18.9;188;4300;real
Adelie;Biscoe;FEMALE;35;17.9;190;3450;real
Adelie;Biscoe;MALE;42;19.5;200;4050;real
Adelie;Biscoe;FEMALE;34.5;18.1;187;2900;real
Adelie;Biscoe;MALE;41.4;18.6;191;3700;real
Adelie;Biscoe;FEMALE;39;17.5;186;3550;real
Adelie;Biscoe;MALE;40.6;18.8;193;3800;real
Adelie;Biscoe;FEMALE;36.5;16.6;181;2850;real
Adelie;Biscoe;MALE;37.6;19.1;194;3750;real
Adelie;Biscoe;FEMALE;35.7;16.9;185;3150;real
Adelie;Biscoe;MALE;41.3;21.1;195;4400;real
Adelie;Biscoe;FEMALE;37.6;17;185;3600;real
Adelie;Biscoe;MALE;41.1;18.2;192;4050;real
Adelie;Biscoe;FEMALE;36.4;17.1;184;2850;real
Adelie;Biscoe;MALE;41.6;18;192;3950;real
Adelie;Biscoe;FEMALE;35.5;16.2;195;3350;real
Adelie;Biscoe;MALE;41.1;19.1;188;4100;real
Adelie;Torgersen;FEMALE;35.9;16.6;190;3050;real
Adelie;Torgersen;MALE;41.8;19.4;198;4450;real
Adelie;Torgersen;FEMALE;33.5;19;190;3600;real
Adelie;Torgersen;MALE;39.7;18.4;190;3900;real
Adelie;Torgersen;FEMALE;39.6;17.2;196;3550;real
Adelie;Torgersen;MALE;45.8;18.9;197;4150;real
Adelie;Torgersen;FEMALE;35.5;17.5;190;3700;real
Adelie;Torgersen;MALE;42.8;18.5;195;4250;real
Adelie;Torgersen;FEMALE;40.9;16.8;191;3700;real
Adelie;Torgersen;MALE;37.2;19.4;184;3900;real
Adelie;Torgersen;FEMALE;36.2;16.1;187;3550;real
Adelie;Torgersen;MALE;42.1;19.1;195;4000;real
Adelie;Torgersen;FEMALE;34.6;17.2;189;3200;real
Adelie;Torgersen;MALE;42.9;17.6;196;4700;real
Adelie;Torgersen;FEMALE;36.7;18.8;187;3800;real
Adelie;Torgersen;MALE;35.1;19.4;193;4200;real
Adelie;Dream;FEMALE;37.3;17.8;191;3350;real
Adelie;Dream;MALE;41.3;20.3;194;3550;real
Adelie;Dream;MALE;36.3;19.5;190;3800;real
Adelie;Dream;FEMALE;36.9;18.6;189;3500;real
Adelie;Dream;MALE;38.3;19.2;189;3950;real
Adelie;Dream;FEMALE;38.9;18.8;190;3600;real
Adelie;Dream;FEMALE;35.7;18;202;3550;real
Adelie;Dream;MALE;41.1;18.1;205;4300;real
Adelie;Dream;FEMALE;34;17.1;185;3400;real
Adelie;Dream;MALE;39.6;18.1;186;4450;real
Adelie;Dream;FEMALE;36.2;17.3;187;3300;real
Adelie;Dream;MALE;40.8;18.9;208;4300;real
Adelie;Dream;FEMALE;38.1;18.6;190;3700;real
Adelie;Dream;MALE;40.3;18.5;196;4350;real
Adelie;Dream;FEMALE;33.1;16.1;178;2900;real
Adelie;Dream;MALE;43.2;18.5;192;4100;real
Adelie;Biscoe;FEMALE;35;17.9;192;3725;real
Adelie;Biscoe;MALE;41;20;203;4725;real
Adelie;Biscoe;FEMALE;37.7;16;183;3075;real
Adelie;Biscoe;MALE;37.8;20;190;4250;real
Adelie;Biscoe;FEMALE;37.9;18.6;193;2925;real
Adelie;Biscoe;MALE;39.7;18.9;184;3550;real
Adelie;Biscoe;FEMALE;38.6;17.2;199;3750;real
Adelie;Biscoe;MALE;38.2;20;190;3900;real
Adelie;Biscoe;FEMALE;38.1;17;181;3175;real
Adelie;Biscoe;MALE;43.2;19;197;4775;real
Adelie;Biscoe;FEMALE;38.1;16.5;198;3825;real
Adelie;Biscoe;MALE;45.6;20.3;191;4600;real
Adelie;Biscoe;FEMALE;39.7;17.7;193;3200;real
Adelie;Biscoe;MALE;42.2;19.5;197;4275;real
Adelie;Biscoe;FEMALE;39.6;20.7;191;3900;real
Adelie;Biscoe;MALE;42.7;18.3;196;4075;real
Adelie;Torgersen;FEMALE;38.6;17;188;2900;real
Adelie;Torgersen;MALE;37.3;20.5;199;3775;real
Adelie;Torgersen;FEMALE;35.7;17;189;3350;real
Adelie;Torgersen;MALE;41.1;18.6;189;3325;real
Adelie;Torgersen;FEMALE;36.2;17.2;187;3150;real
Adelie;Torgersen;MALE;37.7;19.8;198;3500;real
Adelie;Torgersen;FEMALE;40.2;17;176;3450;real
Adelie;Torgersen;MALE;41.4;18.5;202;3875;real
Adelie;Torgersen;FEMALE;35.2;15.9;186;3050;real
Adelie;Torgersen;MALE;40.6;19;199;4000;real
Adelie;Torgersen;FEMALE;38.8;17.6;191;3275;real
Adelie;Torgersen;MALE;41.5;18.3;195;4300;real
Adelie;Torgersen;FEMALE;39;17.1;191;3050;real
Adelie;Torgersen;MALE;44.1;18;210;4000;real
Adelie;Torgersen;FEMALE;38.5;17.9;190;3325;real
Adelie;Torgersen;MALE;43.1;19.2;197;3500;real
